Item Code,Item Group,Default Unit of Measure,Item Name,HSN/SAC
WIRE ROPE JOINT CLAMP,Consumable,Nos,WIRE ROPE JOINT CLAMP,98059000
32# HYDRAULIC OIL-HP,Consumable,Nos,32# HYDRAULIC OIL-HP,98059000
BUFFING WHEEL,Consumable,Nos,BUFFING WHEEL,98059000
INDUSTRIAL EXHAUST FAN 18 INCH ALMONARD MAKE,Consumable,Nos,INDUSTRIAL EXHAUST FAN 18 INCH ALMONARD MAKE,98059000
WHITE SAFETY GOGGLE -KARAM MAKE,Consumable,Nos,WHITE SAFETY GOGGLE -KARAM MAKE,98059000
MANUAL TIP ADAPTOR,Consumable,Nos,MANUAL TIP ADAPTOR,98059000
LAMINATE ROYAL TOUCH SHEET- OR 1605,Consumable,Nos,LAMINATE ROYAL TOUCH SHEET- OR 1605,98059000
LAMINATE ROYAL TOUCH SHEET- OR 1613,Consumable,Nos,LAMINATE ROYAL TOUCH SHEET- OR 1613,98059000
COPPER LUG 10 SQMM-(RING TYPE),Consumable,Nos,COPPER LUG 10 SQMM-(RING TYPE),98059000
SECURITY CABIN 4X4,Consumable,Nos,SECURITY CABIN 4X4,98059000
SECURITY CABIN 6X4,Consumable,Nos,SECURITY CABIN 6X4,98059000
BKS PATTI DIE MAINTENANCE CHARGES,Consumable,Nos,BKS PATTI DIE MAINTENANCE CHARGES,98059000
EAR PLUG,Consumable,Nos,EAR PLUG,98059000
GOLDEN YELLOW ENAMEL PAINT-BERGER PAINT,Consumable,Nos,GOLDEN YELLOW ENAMEL PAINT-BERGER PAINT,98059000
BRANDED TANGERINE ORANGE POLO T-SHIRT WITH WHITE COLOUR DOUBLE TIPPING,Consumable,Nos,BRANDED TANGERINE ORANGE POLO T-SHIRT WITH WHITE COLOUR DOUBLE TIPPING,98059000
VENTRA MAKE SAFETY HELMET (WHITE COLOUR),Consumable,Nos,VENTRA MAKE SAFETY HELMET (WHITE COLOUR),98059000
FORBES INVERTOR AC GACDFMANCV3240- 2TON,Consumable,Nos,FORBES INVERTOR AC GACDFMANCV3240- 2TON,98059000
CEMENT BRICK 6 INCH,Consumable,Nos,CEMENT BRICK 6 INCH,98059000
1200X600 TILE FLOORING WORK CHARGES,Consumable,Nos,1200X600 TILE FLOORING WORK CHARGES,98059000
TEFLON LINER 3 MTR 1.6 MM,Consumable,Nos,TEFLON LINER 3 MTR 1.6 MM,98059000
15W LED DOWNLIGHTER,Consumable,Nos,15W LED DOWNLIGHTER,98059000
LED STRIP,Consumable,Nos,LED STRIP,98059000
LED DRIVER,Consumable,Nos,LED DRIVER,98059000
20A SPN TOP,Consumable,Nos,20A SPN TOP,98059000
6A  3 PIN TOP,Consumable,Nos,6A  3 PIN TOP,98059000
SONG OF INDIA PLANT,Consumable,Nos,SONG OF INDIA PLANT,98059000
ARALIA PLANT,Consumable,Nos,ARALIA PLANT,98059000
CEYLON PLANT,Consumable,Nos,CEYLON PLANT,98059000
TRICOLOUR-1 PLANT,Consumable,Nos,TRICOLOUR-1 PLANT,98059000
