Item Code,Item Group,Default Unit of Measure,Item Name,HSN/SAC,Alloy,Finish Type,Color Type,Valuation Rate,Disabled,Profile,Item Type Standard
SQ. PIPE 50X50X2.5,MS,Kg,SQ. PIPE 50X50X2.5,,NA,NA,NATURAL,0,0,,Non-Standard
MS ANGLE 50X50X4 (EACH LENGTH 6 MTR),MS,Kg,MS ANGLE 50X50X4 (EACH LENGTH 6 MTR),,NA,NA,NATURAL,0,0,,Non-Standard
TIE ROD 16MM ZINC PLATED GOLDEN COLOR,MS,Kg,TIE ROD 16MM ZINC PLATED GOLDEN COLOR,,NA,NA,NATURAL,0,0,,Non-Standard
ANCHOR NUT 90MM 350 GM ZINC PLATED GOLDEN COLOUR,MS,Kg,ANCHOR NUT 90MM 350 GM ZINC PLATED GOLDEN COLOUR,,NA,NA,NATURAL,0,0,,Non-Standard
HEX NUT M16X50 ZINC PLATED GOLDEN COLOUR,MS,Kg,HEX NUT M16X50 ZINC PLATED GOLDEN COLOUR,,NA,Finished,NATURAL,0,0,,Non-Standard
MS PLATE 2800X900X30 MM,MS,Kg,MS PLATE 2800X900X30 MM,,NA,NA,NATURAL,0,0,,Non-Standard
MS PLATE 2800X80X30 MM,MS,Kg,MS PLATE 2800X80X30 MM,,NA,NA,NATURAL,0,0,,Non-Standard
YELLOW ENAMEL PAINT,MS,Kg,YELLOW ENAMEL PAINT,,NA,NA,NATURAL,0,0,,Non-Standard
MS SUPPORT PLATE 400X170X15 MM,MS,Kg,MS SUPPORT PLATE 400X170X15 MM,,NA,NA,NATURAL,0,0,,Non-Standard
MS BASE PLATE 800X800X15 MM,MS,Kg,MS BASE PLATE 800X800X15 MM,,NA,NA,NATURAL,0,0,,Non-Standard
BASE SUPPORT BLOCK 60X60X110 MM,MS,Kg,BASE SUPPORT BLOCK 60X60X110 MM,,NA,NA,NATURAL,0,0,,Non-Standard
